segmento,dificultades,n,prop,base,semana
Municipios capitales y El Alto,Algunos productos ya no están disponibles,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Algunos productos ya no están disponibles,355,12.994143484626647,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Distancia a los centro de abasto,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Algunos productos ya no están disponibles,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Distancia a los centro de abasto,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Distancia a los centro de abasto,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,4,0.14641288433382138,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Especulación y precios altos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Especulación y precios altos,850,31.112737920937043,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Especulación y precios altos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Distancia a los centro de abasto,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Especulación y precios altos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Distancia a los centro de abasto,430,15.739385065885797,dificultades,Semana 4
Municipios capitales y El Alto,Especulación y precios altos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Muy poco tiempo para abastecerse,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Distancia a los centro de abasto,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Especulación y precios altos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Algunos productos ya no están disponibles,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Distancia a los centro de abasto,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Especulación y precios altos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Restricción vehicular,437,15.995607613469986,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Especulación y precios altos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Especulación y precios altos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Especulación y precios altos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Distancia a los centro de abasto,1,0.036603221083455345,dificultades,Semana 4
Municipios capitales y El Alto,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Ciudades intermedias,Algunos productos ya no están disponibles,76,2.781844802342606,dificultades,Semana 4
Ciudades intermedias,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Ciudades intermedias,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Ciudades intermedias,Distancia a los centro de abasto,1,0.036603221083455345,dificultades,Semana 4
Ciudades intermedias,Especulación y precios altos,150,5.490483162518302,dificultades,Semana 4
Ciudades intermedias,Distancia a los centro de abasto,85,3.111273792093704,dificultades,Semana 4
Ciudades intermedias,Falta de ingresos,2,0.07320644216691069,dificultades,Semana 4
Ciudades intermedias,Distancia a los centro de abasto,1,0.036603221083455345,dificultades,Semana 4
Ciudades intermedias,Restricción vehicular,86,3.1478770131771596,dificultades,Semana 4
Ciudades intermedias,Distancia a los centro de abasto,1,0.036603221083455345,dificultades,Semana 4
Ciudades intermedias,Especulación y precios altos,1,0.036603221083455345,dificultades,Semana 4
Municipios rurales,Algunos productos ya no están disponibles,40,1.4641288433382138,dificultades,Semana 4
Municipios rurales,Algunos productos ya no están disponibles,1,0.036603221083455345,dificultades,Semana 4
Municipios rurales,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios rurales,Especulación y precios altos,72,2.635431918008785,dificultades,Semana 4
Municipios rurales,Distancia a los centro de abasto,55,2.013177159590044,dificultades,Semana 4
Municipios rurales,Distancia a los centro de abasto,1,0.036603221083455345,dificultades,Semana 4
Municipios rurales,Restricción vehicular,44,1.610541727672035,dificultades,Semana 4
Municipios rurales,Especulación y precios altos,1,0.036603221083455345,dificultades,Semana 4
Municipios rurales,Falta de ingresos,1,0.036603221083455345,dificultades,Semana 4
Municipios rurales,Algunos productos ya no están disponibles,1,0.036603221083455345,dificultades,Semana 4
