cual_es_su_ocupacion_actual,segmento,n,prop,base,semana
Empleada(o) sector privado,capitales,126,16,ocupacion,Semana 3
Estudiante,capitales,81,10,ocupacion,Semana 3
Otros,capitales,302,38,ocupacion,Semana 3
Productor,capitales,15,2,ocupacion,Semana 3
Profesional Independiente,capitales,186,24,ocupacion,Semana 3
Servidor/Autoridad Pública,capitales,75,10,ocupacion,Semana 3
Empleada(o) sector privado,intermedias,8,8,ocupacion,Semana 3
Estudiante,intermedias,15,16,ocupacion,Semana 3
Otros,intermedias,51,53,ocupacion,Semana 3
Productor,intermedias,4,4,ocupacion,Semana 3
Profesional Independiente,intermedias,13,14,ocupacion,Semana 3
Servidor/Autoridad Pública,intermedias,5,5,ocupacion,Semana 3
Empleada(o) sector privado,rurales,3,7,ocupacion,Semana 3
Estudiante,rurales,7,16,ocupacion,Semana 3
Otros,rurales,19,43,ocupacion,Semana 3
Profesional Independiente,rurales,10,23,ocupacion,Semana 3
Servidor/Autoridad Pública,rurales,5,11,ocupacion,Semana 3
