cual_es_su_ocupacion_actual,segmento,n,prop,base,semana
Empleada(o) sector privado,capitales,77,14,ocupacion,Semana 1
Estudiante,capitales,135,25,ocupacion,Semana 1
Otros,capitales,103,19,ocupacion,Semana 1
Productor,capitales,7,1,ocupacion,Semana 1
Profesional Independiente,capitales,153,29,ocupacion,Semana 1
Servidor/Autoridad Pública,capitales,60,11,ocupacion,Semana 1
Empleada(o) sector privado,intermedias,4,8,ocupacion,Semana 1
Estudiante,intermedias,20,39,ocupacion,Semana 1
Otros,intermedias,10,20,ocupacion,Semana 1
Productor,intermedias,2,4,ocupacion,Semana 1
Profesional Independiente,intermedias,9,18,ocupacion,Semana 1
Servidor/Autoridad Pública,intermedias,6,12,ocupacion,Semana 1
Empleada(o) sector privado,rurales,5,8,ocupacion,Semana 1
Estudiante,rurales,19,30,ocupacion,Semana 1
Otros,rurales,18,29,ocupacion,Semana 1
Productor,rurales,5,8,ocupacion,Semana 1
Profesional Independiente,rurales,14,22,ocupacion,Semana 1
Servidor/Autoridad Pública,rurales,2,3,ocupacion,Semana 1
