segmento,disponibilidad,n,prop,base,semana
Municipios capitales y El Alto,Cada vez menos,405,34,disponibilidad,Semana 4
Municipios capitales y El Alto,Hay escasez,211,18,disponibilidad,Semana 4
Municipios capitales y El Alto,Normal,530,45,disponibilidad,Semana 4
Municipios capitales y El Alto,Nunca fue normal,37,3,disponibilidad,Semana 4
Ciudades intermedias,Cada vez menos,75,34,disponibilidad,Semana 4
Ciudades intermedias,Hay escasez,66,30,disponibilidad,Semana 4
Ciudades intermedias,Normal,65,30,disponibilidad,Semana 4
Ciudades intermedias,Nunca fue normal,14,6,disponibilidad,Semana 4
Municipios rurales,Cada vez menos,42,38,disponibilidad,Semana 4
Municipios rurales,Hay escasez,39,35,disponibilidad,Semana 4
Municipios rurales,Normal,21,19,disponibilidad,Semana 4
Municipios rurales,Nunca fue normal,8,7,disponibilidad,Semana 4
