segmento,disponibilidad,n,prop,base,semana
Municipios capitales y El Alto,Cada vez menos,408,35,disponibilidad,Semana 2
Municipios capitales y El Alto,Hay escasez,121,10,disponibilidad,Semana 2
Municipios capitales y El Alto,Normal,611,52,disponibilidad,Semana 2
Municipios capitales y El Alto,Nunca fue normal,30,3,disponibilidad,Semana 2
Ciudades intermedias,Cada vez menos,52,44,disponibilidad,Semana 2
Ciudades intermedias,Hay escasez,28,24,disponibilidad,Semana 2
Ciudades intermedias,Normal,34,29,disponibilidad,Semana 2
Ciudades intermedias,Nunca fue normal,4,3,disponibilidad,Semana 2
Municipios rurales,Cada vez menos,27,39,disponibilidad,Semana 2
Municipios rurales,Hay escasez,14,20,disponibilidad,Semana 2
Municipios rurales,Normal,23,33,disponibilidad,Semana 2
Municipios rurales,Nunca fue normal,6,14,disponibilidad,Semana 2
