abastece,segmento,n,categoria,prop,base,semana
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.07401924500370095,abastece,Semana 2
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.07401924500370095,abastece,Semana 2
Ferias,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.07401924500370095,abastece,Semana 2
Camiones o vendedores en vehiculos,Municipios rurales,1,Venta móvil,0.07401924500370095,abastece,Semana 2
Pedidos por aplicación,Municipios capitales y El Alto,1,Pedidos por aplicación,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios rurales,1,Supermercados,0.07401924500370095,abastece,Semana 2
Ferias,Municipios rurales,1,Tiendas de barrio y ferias,0.07401924500370095,abastece,Semana 2
Ferias,Municipios capitales y El Alto,115,Tiendas de barrio y ferias,8.512213175425611,abastece,Semana 2
Ferias,Ciudades intermedias,17,Tiendas de barrio y ferias,1.2583271650629164,abastece,Semana 2
Ferias,Municipios rurales,5,Tiendas de barrio y ferias,0.3700962250185048,abastece,Semana 2
Ferias,Ciudades intermedias,1,Tiendas de barrio y ferias,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios rurales,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios rurales,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.07401924500370095,abastece,Semana 2
Supermercado,Ciudades intermedias,1,Supermercados,0.07401924500370095,abastece,Semana 2
Mercado Barrial,Municipios capitales y El Alto,531,Mercados,39.30421909696521,abastece,Semana 2
Mercado Barrial,Ciudades intermedias,16,Mercados,1.1843079200592153,abastece,Semana 2
Mercado Barrial,Municipios rurales,18,Mercados,1.3323464100666174,abastece,Semana 2
Tiendas de barrio,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.07401924500370095,abastece,Semana 2
Mercado Municipal,Municipios capitales y El Alto,2,Mercados,0.1480384900074019,abastece,Semana 2
Mercado Barrial,Municipios capitales y El Alto,1,Mercados,0.07401924500370095,abastece,Semana 2
Mercado de otro Municipio,Municipios capitales y El Alto,9,Mercados,0.6661732050333087,abastece,Semana 2
Mercado de otro Municipio,Ciudades intermedias,3,Mercados,0.22205773501110287,abastece,Semana 2
Mercado de otro Municipio,Municipios rurales,6,Mercados,0.44411547002220575,abastece,Semana 2
Mercado Barrial,Municipios capitales y El Alto,1,Mercados,0.07401924500370095,abastece,Semana 2
Mercado Municipal,Municipios capitales y El Alto,232,Mercados,17.172464840858623,abastece,Semana 2
Mercado Municipal,Ciudades intermedias,55,Mercados,4.071058475203553,abastece,Semana 2
Mercado Municipal,Municipios rurales,15,Mercados,1.1102886750555145,abastece,Semana 2
Mercado Municipal,Municipios capitales y El Alto,1,Mercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,2,Venta móvil,0.1480384900074019,abastece,Semana 2
Camiones o vendedores en vehiculos,Ciudades intermedias,1,Venta móvil,0.07401924500370095,abastece,Semana 2
Producción propia,Municipios capitales y El Alto,1,Producción propia,0.07401924500370095,abastece,Semana 2
Pedidos por aplicación,Municipios capitales y El Alto,1,Pedidos por aplicación,0.07401924500370095,abastece,Semana 2
Tiendas de barrio,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.07401924500370095,abastece,Semana 2
Pedidos por aplicación,Municipios capitales y El Alto,1,Pedidos por aplicación,0.07401924500370095,abastece,Semana 2
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.07401924500370095,abastece,Semana 2
Producción propia,Ciudades intermedias,1,Producción propia,0.07401924500370095,abastece,Semana 2
Producción propia,Municipios rurales,4,Producción propia,0.2960769800148038,abastece,Semana 2
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,2,Supermercados,0.1480384900074019,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,28,Supermercados,2.072538860103627,abastece,Semana 2
Supermercado,Ciudades intermedias,2,Supermercados,0.1480384900074019,abastece,Semana 2
Supermercado,Municipios rurales,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,17,Supermercados,1.2583271650629164,abastece,Semana 2
Supermercado,Municipios rurales,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,2,Supermercados,0.1480384900074019,abastece,Semana 2
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.07401924500370095,abastece,Semana 2
Tiendas de barrio,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.07401924500370095,abastece,Semana 2
Tiendas de barrio,Municipios capitales y El Alto,192,Tiendas de barrio y ferias,14.211695040710584,abastece,Semana 2
Tiendas de barrio,Ciudades intermedias,19,Tiendas de barrio y ferias,1.4063656550703183,abastece,Semana 2
