segmento,gam,n,prop,base,semana
Ciudades intermedias,Control de precios en mercados,5,10,gam,Semana 1
Ciudades intermedias,Coordinación con actores locales,5,10,gam,Semana 1
Ciudades intermedias,Coordinación con otros niveles de gobierno,2,4,gam,Semana 1
Ciudades intermedias,Coordinación con productores locales,6,12,gam,Semana 1
Ciudades intermedias,Nada,22,43,gam,Semana 1
Ciudades intermedias,No sabe,11,22,gam,Semana 1
Municipios capitales y El Alto,Control de precios en mercados,85,16,gam,Semana 1
Municipios capitales y El Alto,Coordinación con actores locales,53,10,gam,Semana 1
Municipios capitales y El Alto,Coordinación con otros niveles de gobierno,23,4,gam,Semana 1
Municipios capitales y El Alto,Coordinación con productores locales,68,13,gam,Semana 1
Municipios capitales y El Alto,Nada,126,24,gam,Semana 1
Municipios capitales y El Alto,No sabe,180,34,gam,Semana 1
Municipios rurales,Control de precios en mercados,8,13,gam,Semana 1
Municipios rurales,Coordinación con actores locales,8,13,gam,Semana 1
Municipios rurales,Coordinación con productores locales,11,17,gam,Semana 1
Municipios rurales,Nada,21,33,gam,Semana 1
Municipios rurales,No sabe,15,24,gam,Semana 1
