segmento,gam,n,prop,base,semana
Ciudades intermedias,Control de precios en mercados,18,19,gam,Semana 3
Ciudades intermedias,Coordinación con actores locales,8,8,gam,Semana 3
Ciudades intermedias,Coordinación con otros niveles de gobierno,2,2,gam,Semana 3
Ciudades intermedias,Coordinación con productores locales,7,7,gam,Semana 3
Ciudades intermedias,Nada,25,26,gam,Semana 3
Ciudades intermedias,No sabe,36,38,gam,Semana 3
Municipios capitales y El Alto,Control de precios en mercados,137,17,gam,Semana 3
Municipios capitales y El Alto,Coordinación con actores locales,71,9,gam,Semana 3
Municipios capitales y El Alto,Coordinación con otros niveles de gobierno,43,5,gam,Semana 3
Municipios capitales y El Alto,Coordinación con productores locales,121,15,gam,Semana 3
Municipios capitales y El Alto,Nada,156,20,gam,Semana 3
Municipios capitales y El Alto,No sabe,257,33,gam,Semana 3
Municipios rurales,Control de precios en mercados,6,14,gam,Semana 3
Municipios rurales,Coordinación con actores locales,5,11,gam,Semana 3
Municipios rurales,Coordinación con otros niveles de gobierno,2,5,gam,Semana 3
Municipios rurales,Coordinación con productores locales,5,11,gam,Semana 3
Municipios rurales,Nada,16,36,gam,Semana 3
Municipios rurales,No sabe,10,23,gam,Semana 3
