cual_es_su_ocupacion_actual,segmento,n,prop,base,semana
Empleada(o) sector privado,capitales,132,11,ocupacion,Semana 4
Estudiante,capitales,194,16,ocupacion,Semana 4
Otros,capitales,542,46,ocupacion,Semana 4
Productor,capitales,7,1,ocupacion,Semana 4
Profesional Independiente,capitales,228,19,ocupacion,Semana 4
Servidor/Autoridad Pública,capitales,80,7,ocupacion,Semana 4
Empleada(o) sector privado,intermedias,20,9,ocupacion,Semana 4
Estudiante,intermedias,29,13,ocupacion,Semana 4
Otros,intermedias,129,59,ocupacion,Semana 4
Productor,intermedias,7,3,ocupacion,Semana 4
Profesional Independiente,intermedias,17,8,ocupacion,Semana 4
Servidor/Autoridad Pública,intermedias,18,8,ocupacion,Semana 4
Empleada(o) sector privado,rurales,7,6,ocupacion,Semana 4
Estudiante,rurales,17,15,ocupacion,Semana 4
Otros,rurales,62,56,ocupacion,Semana 4
Productor,rurales,9,8,ocupacion,Semana 4
Profesional Independiente,rurales,11,10,ocupacion,Semana 4
Servidor/Autoridad Pública,rurales,4,4,ocupacion,Semana 4
