segmento,dificultades,n,prop,base,semana
Municipios capitales y El Alto,Algunos productos ya no están disponibles,239,14.689612784265519,dificultades,Semana 3
Municipios capitales y El Alto,Algunos productos ya no están disponibles,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Falta de ingresos,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Distancia a los centro de abasto,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Falta de ingresos,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Especulación y precios altos,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Distancia a los centro de abasto,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Especulación y precios altos,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Ninguna,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Especulación y precios altos,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Falta de ingresos,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Falta de ingresos,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Largas filas,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Especulación y precios altos,516,31.71481253841426,dificultades,Semana 3
Municipios capitales y El Alto,Algunos productos ya no están disponibles,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Especulación y precios altos,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Especulación y precios altos,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Distancia a los centro de abasto,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Largas filas,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Algunos productos ya no están disponibles,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Restricción vehicular,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Más perjudicados están en la zona periurbana o comunidades alejadas,252,15.488629379225568,dificultades,Semana 3
Municipios capitales y El Alto,Ninguna,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Ninguna,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Ninguna,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Ninguna,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Falta de ingresos,3,0.18438844499078058,dificultades,Semana 3
Municipios capitales y El Alto,Falta de ingresos,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Algunos productos ya no están disponibles,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Falta de ingresos,2,0.1229256299938537,dificultades,Semana 3
Municipios capitales y El Alto,Algunos productos ya no están disponibles,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Falta de ingresos,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Restricción vehicular,298,18.315918869084204,dificultades,Semana 3
Municipios capitales y El Alto,Algunos productos ya no están disponibles,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Especulación y precios altos,1,0.06146281499692685,dificultades,Semana 3
Municipios capitales y El Alto,Falta de ingresos,1,0.06146281499692685,dificultades,Semana 3
Ciudades intermedias,Algunos productos ya no están disponibles,41,2.519975414874001,dificultades,Semana 3
Ciudades intermedias,Falta de ingresos,1,0.06146281499692685,dificultades,Semana 3
Ciudades intermedias,Falta de ingresos,1,0.06146281499692685,dificultades,Semana 3
Ciudades intermedias,Especulación y precios altos,59,3.6263060848186845,dificultades,Semana 3
Ciudades intermedias,Más perjudicados están en la zona periurbana o comunidades alejadas,51,3.1346035648432697,dificultades,Semana 3
Ciudades intermedias,Ninguna,1,0.06146281499692685,dificultades,Semana 3
Ciudades intermedias,Restricción vehicular,1,0.06146281499692685,dificultades,Semana 3
Ciudades intermedias,Restricción vehicular,43,2.642901044867855,dificultades,Semana 3
Ciudades intermedias,Falta de ingresos,1,0.06146281499692685,dificultades,Semana 3
Municipios rurales,Algunos productos ya no están disponibles,16,0.9834050399508296,dificultades,Semana 3
Municipios rurales,Especulación y precios altos,1,0.06146281499692685,dificultades,Semana 3
Municipios rurales,Especulación y precios altos,30,1.843884449907806,dificultades,Semana 3
Municipios rurales,Más perjudicados están en la zona periurbana o comunidades alejadas,13,0.7990165949600493,dificultades,Semana 3
Municipios rurales,Algunos productos ya no están disponibles,1,0.06146281499692685,dificultades,Semana 3
Municipios rurales,Restricción vehicular,27,1.6594960049170253,dificultades,Semana 3
