abastece,segmento,n,categoria,prop,base,semana
Camión de la alcaldía que trae víveres,Municipios rurales,1,Venta móvil,0.15552099533437014,abastece,Semana 1
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.15552099533437014,abastece,Semana 1
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.15552099533437014,abastece,Semana 1
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.15552099533437014,abastece,Semana 1
Directo de productores,Municipios rurales,1,Directo de productores,0.15552099533437014,abastece,Semana 1
Tiendas de barrio,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.15552099533437014,abastece,Semana 1
Ferias,Municipios capitales y El Alto,78,Tiendas de barrio y ferias,12.130637636080872,abastece,Semana 1
Ferias,Ciudades intermedias,8,Tiendas de barrio y ferias,1.244167962674961,abastece,Semana 1
Ferias,Municipios rurales,5,Tiendas de barrio y ferias,0.7776049766718507,abastece,Semana 1
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.15552099533437014,abastece,Semana 1
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.15552099533437014,abastece,Semana 1
Mercado Barrial,Municipios capitales y El Alto,192,Mercados,29.86003110419907,abastece,Semana 1
Mercado Barrial,Ciudades intermedias,5,Mercados,0.7776049766718507,abastece,Semana 1
Mercado Barrial,Municipios rurales,5,Mercados,0.7776049766718507,abastece,Semana 1
Tiendas de barrio,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.15552099533437014,abastece,Semana 1
Mercado Municipal,Municipios capitales y El Alto,1,Mercados,0.15552099533437014,abastece,Semana 1
Mercado Municipal,Ciudades intermedias,1,Mercados,0.15552099533437014,abastece,Semana 1
Mercado de otro Municipio,Municipios capitales y El Alto,4,Mercados,0.6220839813374806,abastece,Semana 1
Mercado de otro Municipio,Ciudades intermedias,1,Mercados,0.15552099533437014,abastece,Semana 1
Mercado de otro Municipio,Municipios rurales,2,Mercados,0.3110419906687403,abastece,Semana 1
Mercado Municipal,Municipios capitales y El Alto,116,Mercados,18.040435458786934,abastece,Semana 1
Mercado Municipal,Ciudades intermedias,28,Mercados,4.354587869362364,abastece,Semana 1
Mercado Municipal,Municipios rurales,19,Mercados,2.9548989113530326,abastece,Semana 1
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Pedidos por aplicación,Municipios capitales y El Alto,1,Pedidos por aplicación,0.15552099533437014,abastece,Semana 1
Producción propia,Municipios capitales y El Alto,5,Producción propia,0.7776049766718507,abastece,Semana 1
Producción propia,Ciudades intermedias,2,Producción propia,0.3110419906687403,abastece,Semana 1
Producción propia,Municipios rurales,8,Producción propia,1.244167962674961,abastece,Semana 1
Producción propia,Municipios capitales y El Alto,1,Producción propia,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Producción propia,Municipios rurales,1,Producción propia,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,5,Supermercados,0.7776049766718507,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,16,Supermercados,2.488335925349922,abastece,Semana 1
Supermercado,Ciudades intermedias,2,Supermercados,0.3110419906687403,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios rurales,1,Supermercados,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.15552099533437014,abastece,Semana 1
Supermercado,Municipios capitales y El Alto,9,Supermercados,1.3996889580093312,abastece,Semana 1
Tiendas de barrio,Municipios capitales y El Alto,79,Tiendas de barrio y ferias,12.28615863141524,abastece,Semana 1
Tiendas de barrio,Ciudades intermedias,4,Tiendas de barrio y ferias,0.6220839813374806,abastece,Semana 1
Tiendas de barrio,Municipios rurales,18,Tiendas de barrio y ferias,2.7993779160186625,abastece,Semana 1
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.15552099533437014,abastece,Semana 1
